movie_title,title_year,duration,color,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,imdb_score,aspect_ratio,g1,g2,g3,g4,g5,g6,g7,g8,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26
Vanilla Sky ,2001,141,Color,153,488,10000,834,509,100614858,206776,11458,1,1248,English,USA,R,68000000,6.9,1.85,Fantasy,Mystery,Romance,Sci-Fi,Thriller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lady in the Water ,2006,110,Color,284,0,3000,579,559,42272747,78635,5609,1,1040,English,USA,PG-13,70000000,5.6,1.85,Drama,Fantasy,Mystery,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVP: Alien vs. Predator ,2004,109,Color,247,545,886,766,727,80281096,143628,3222,0,1283,English,USA,PG-13,60000000,5.6,2.35,Action,Horror,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin and the Chipmunks: The Squeakquel ,2009,88,Color,107,84,1000,1000,1000,219613391,31649,5227,0,98,English,USA,PG,75000000,4.5,1.85,Animation,Comedy,Family,Fantasy,Music,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We Were Soldiers ,2002,124,Color,141,130,4000,973,841,78120196,103241,6181,0,742,English,USA,R,75000000,7.1,2.35,Action,Drama,History,War,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olympus Has Fallen ,2013,119,Color,358,845,18000,11000,992,98895417,203154,31782,3,698,English,USA,R,70000000,6.5,2.35,Action,Thriller,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek: Insurrection ,1998,103,Color,160,906,1000,906,748,70117571,56741,6207,0,515,English,USA,PG,58000000,6.4,2.35,Action,Adventure,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Los Angeles ,2011,116,Color,355,473,833,697,464,83552429,154955,4001,0,800,English,USA,PG-13,70000000,5.8,2.35,Action,Sci-Fi,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Fish ,2003,125,Color,235,13000,12000,1000,883,66257002,350698,16138,0,816,English,USA,PG-13,70000000,8,1.37,Adventure,Drama,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf ,1994,125,Color,59,0,443,277,184,65012000,43559,1439,1,137,English,USA,R,70000000,6.2,1.85,Drama,Horror,Romance,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
War Horse ,2011,146, Black and White,388,14000,25000,19000,979,79883359,116159,46726,1,488,English,USA,PG-13,66000000,7.2,2.35,Drama,War,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Monuments Men ,2014,118,Color,371,0,13000,13000,559,78031620,102248,27674,7,403,English,USA,PG-13,70000000,6.1,2.35,Drama,War,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Abyss ,1989,171,Color,82,0,2000,650,638,54222000,131217,4074,0,380,English,USA,PG-13,69500000,7.6,2.35,Adventure,Drama,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wall Street: Money Never Sleeps ,2010,136,Color,297,0,903,592,17,52474616,84118,1579,2,245,English,USA,PG-13,70000000,6.3,2.35,Drama,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dracula Untold ,2014,92,Color,261,28,3000,692,423,55942830,138582,5178,1,423,English,USA,PG-13,70000000,6.3,2.35,Action,Drama,Fantasy,Horror,War,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Siege ,1998,116,Color,120,380,18000,13000,774,40932372,58023,32563,0,281,English,USA,R,70000000,6.3,2.35,Action,Thriller,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stardust ,2007,127,Color,228,905,15000,588,271,38345403,212085,16034,8,492,English,UK,PG-13,70000000,7.7,2.35,Adventure,Family,Fantasy,Romance,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seven Years in Tibet ,1997,136,Color,76,218,11000,691,400,37901509,96385,12226,1,119,English,USA,PG-13,70000000,7,2.35,Adventure,Biography,Drama,History,War,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dilemma ,2011,111,Color,185,2000,17000,1000,244,48430355,43709,18510,2,141,English,USA,PG-13,70000000,5.3,2.35,Comedy,Drama,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Company ,2002,116,Color,128,541,12000,405,384,30157016,39659,12993,2,189,English,USA,PG-13,70000000,5.6,2.35,Action,Adventure,Comedy,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doom ,2005,113,Color,237,43,12000,585,452,28031250,88146,13517,0,814,English,UK,R,60000000,5.2,2.35,Action,Adventure,Horror,Sci-Fi,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Spy ,2002,97,Color,105,84,989,229,150,33105600,41663,1576,1,141,English,USA,PG-13,70000000,5.4,1.37,Action,Adventure,Comedy,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Underworld: Awakening ,2012,88,Color,242,24,5000,327,324,62321039,117096,5861,1,271,English,USA,R,70000000,6.4,2.35,Action,Fantasy,Horror,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock of Ages ,2012,136,Color,360,163,394,217,66,38509342,61995,712,7,356,English,USA,PG-13,75000000,5.9,2.35,Comedy,Drama,Musical,Romance,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hart's War ,2002,125,Color,112,40,13000,787,407,19076815,43651,15916,0,196,English,USA,R,60000000,6.3,2.35,Drama,War,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killer Elite ,2011,116,Color,189,5,26000,22000,748,25093607,105556,49608,2,157,English,UK,R,35000000,6.5,2.35,Action,Crime,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rollerball ,2002,98,Color,151,323,1000,841,390,18990542,22264,2763,3,289,English,USA,R,70000000,3,2.35,Action,Sci-Fi,Sport,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballistic: Ecks vs. Sever ,2002,91,Color,92,8,349,324,298,14294842,16761,1846,1,277,English,USA,R,70000000,3.6,2.35,Action,Crime,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard Rain ,1998,97,Color,79,13,11000,893,695,19819494,26893,13628,0,126,English,USA,R,70000000,5.8,2.35,Action,Crime,Drama,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osmosis Jones ,2001,95,Color,81,101,2000,509,443,13596911,25572,3734,0,123,English,USA,PG,70000000,6.2,2.35,Action,Adventure,Animation,Comedy,Crime,Family,Fantasy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legends of Oz: Dorothy's Return ,2013,88,Color,51,6,2000,1000,854,8460990,5116,6946,1,54,English,USA,PG,70000000,5.6,,Adventure,Animation,Family,Fantasy,Musical,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackhat ,2015,133,Color,261,0,26000,326,301,7097125,38983,28129,1,207,English,USA,R,70000000,5.4,2.35,Action,Crime,Drama,Mystery,Thriller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sky Captain and the World of Tomorrow ,2004,106,Color,197,14,11000,1000,582,37760080,72868,12871,2,618,English,USA,PG,70000000,6.1,1.85,Action,Adventure,Mystery,Sci-Fi,Thriller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basic Instinct 2 ,2006,116,Color,159,105,844,729,246,5851188,31124,1899,1,313,English,UK,R,70000000,4.2,2.35,Crime,Mystery,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escape Plan ,2013,115,Color,286,101,13000,1000,585,25121291,177653,15708,1,279,English,USA,R,50000000,6.7,2.35,Action,Crime,Mystery,Sci-Fi,Thriller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Legend of Hercules ,2014,99,Color,156,212,576,358,182,18821279,44891,1520,0,202,English,USA,PG-13,70000000,4.2,2.35,Action,Adventure,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sum of All Fears ,2002,124,Color,176,31,11000,655,497,118471320,86504,12556,0,568,English,USA,PG-13,68000000,6.4,2.35,Action,Drama,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Twilight Saga: Eclipse ,2010,124,Color,293,171,21000,17000,10000,300523113,184637,52547,3,498,English,USA,PG-13,68000000,4.9,2.35,Adventure,Drama,Fantasy,Romance,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Score ,2001,124,Color,141,0,22000,10000,580,71069884,101899,32871,0,445,English,USA,R,68000000,6.8,2.35,Crime,Drama,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despicable Me ,2010,87,Color,304,275,7000,2000,975,251501645,385943,11608,0,296,English,USA,PG,69000000,7.7,1.85,Animation,Comedy,Family,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Money Train ,1995,105,Color,40,29,584,220,97,35324232,32224,1132,1,62,English,USA,R,68000000,5.6,2.35,Action,Comedy,Crime,Drama,Thriller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ted 2 ,2015,125,Color,280,3000,14000,11000,3000,81257500,117739,30010,0,229,English,USA,R,68000000,6.4,2.35,Comedy,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agora ,2009,141,Color,180,448,614,451,334,617840,52496,1829,2,172,English,Spain,R,70000000,7.2,2.35,Adventure,Drama,History,Romance,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mystery Men ,1999,121,Color,125,18,1000,855,776,29655590,53970,3986,4,435,English,USA,PG-13,65000000,6,1.85,Action,Comedy,Fantasy,Sci-Fi,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hall Pass ,2011,111,Color,237,101,966,919,681,45045037,103230,3393,3,143,English,USA,R,36000000,5.9,2.35,Comedy,Romance,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Insider ,1999,157,Color,209,0,14000,826,680,28965197,133526,18216,1,521,English,USA,R,68000000,7.9,2.35,Biography,Drama,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Finest Hours ,2016,117,Color,178,44,788,562,531,27550735,27481,3524,0,113,English,USA,PG-13,,6.8,2.35,Action,Drama,History,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Body of Lies ,2008,128,Color,238,0,29000,149,135,39380442,174248,29824,1,263,English,USA,R,70000000,7.1,2.35,Action,Drama,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinner for Schmucks ,2010,114,Color,190,116,7000,1000,982,72980108,80338,10419,2,264,English,USA,PG-13,,5.9,1.85,Comedy,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Lincoln: Vampire Hunter ,2012,105,Color,393,335,3000,3000,911,37516013,128629,8281,0,348,English,USA,R,69000000,5.9,2.35,Action,Fantasy,Horror,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrapment ,1999,113,Color,138,36,537,427,232,87704396,88132,1302,1,274,English,USA,PG-13,66000000,6.2,2.35,Action,Crime,Romance,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The X Files ,1998,121,Color,142,38,940,826,745,83892374,85720,4230,0,297,English,USA,PG-13,66000000,7,2.35,Drama,Mystery,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Legion ,2007,102,Color,90,4,14000,394,112,5932060,29285,14625,0,174,English,UK,PG-13,35000000,5.4,2.35,Action,Adventure,Fantasy,War,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saving Private Ryan ,1998,169,Color,219,14000,15000,14000,13000,216119491,881236,44998,2,2277,English,USA,R,70000000,8.6,1.85,Action,Drama,War,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Need for Speed ,2014,132,Color,327,76,3000,3000,464,43568507,136954,7081,1,346,English,USA,PG-13,66000000,6.5,2.35,Action,Crime,Drama,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What Women Want ,2000,127,Color,149,278,2000,955,912,182805123,158864,5838,1,395,English,USA,PG-13,70000000,6.4,1.37,Comedy,Fantasy,Romance,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice Age ,2002,103,Color,193,77,1000,939,835,176387405,328159,5437,0,467,English,USA,PG,59000000,7.6,1.85,Adventure,Animation,Comedy,Family,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dreamcatcher ,2003,136,Color,175,759,11000,599,354,33685268,75573,12194,1,662,English,USA,R,68000000,5.5,2.35,Drama,Horror,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln ,2012,150,Color,538,14000,23000,826,655,182204440,197412,25517,0,720,English,USA,PG-13,65000000,7.4,2.35,Biography,Drama,History,War,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Matrix ,1999,136,Color,313,0,18000,145,99,171383253,1217752,18563,3,3646,English,USA,R,63000000,8.7,2.35,Action,Sci-Fi,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo 13 ,1995,140,Color,159,2000,15000,968,552,172071312,208817,17171,0,296,English,USA,PG,62000000,7.6,2.35,Adventure,Drama,History,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Recall ,1990,113,Color,196,719,605,308,217,119412921,240241,1441,0,391,English,USA,R,65000000,7.5,1.85,Action,Sci-Fi,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Santa Clause 2 ,2002,104,Color,80,54,901,857,775,139225854,34561,5265,0,116,English,USA,G,60000000,5.5,1.85,Comedy,Family,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Misérables ,2012,158,Color,488,0,20000,13000,11000,148775460,243834,46204,1,845,English,USA,PG-13,61000000,7.6,1.85,Drama,Musical,Romance,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You've Got Mail ,1998,119,Color,153,0,15000,793,744,115731542,151812,17768,2,556,English,USA,PG,65000000,6.5,1.85,Comedy,Drama,Romance,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Step Brothers ,2008,106,Color,173,285,8000,3000,105,100468793,212499,11264,2,277,English,USA,R,65000000,6.9,2.35,Comedy,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mask of Zorro ,1998,136,Color,156,258,12000,174,94,93771072,135404,12396,0,318,English,USA,PG-13,65000000,6.7,2.35,Action,Adventure,Comedy,Romance,Thriller,Western,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Due Date ,2010,95,Color,307,480,21000,561,490,100448498,272789,23018,3,285,English,USA,R,65000000,6.6,2.35,Comedy,Drama,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unbroken ,2014,137,Color,322,11000,769,698,465,115603980,103589,2938,0,351,English,USA,PG-13,65000000,7.2,2.35,Biography,Drama,Sport,War,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space Cowboys ,2000,130, Black and White,169,16000,16000,495,416,90454043,60165,17771,1,326,English,USA,PG-13,65000000,6.4,2.35,Action,Adventure,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliffhanger ,1993,124,Color,74,212,13000,730,369,84049211,96096,15229,1,172,English,USA,R,70000000,6.4,2.35,Action,Adventure,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken Arrow ,1996,108,Color,72,610,848,517,461,70450000,77390,2913,2,189,English,USA,R,50000000,6,2.35,Action,Crime,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Kid ,2000,104,Color,86,226,13000,718,577,69688384,34473,16452,1,139,English,USA,PG,60000000,6.1,1.85,Comedy,Family,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World Trade Center ,2006,129,Color,242,0,12000,1000,625,70236496,67395,14421,0,564,English,USA,PG-13,63000000,6,1.85,Drama,History,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mona Lisa Smile ,2003,117,Color,141,179,8000,4000,403,63695760,61490,12850,1,264,English,USA,PG-13,65000000,6.4,1.85,Drama,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dictator ,2012,99,Color,313,119,600,346,174,59617068,213863,1375,0,310,English,USA,R,65000000,6.4,2.35,Comedy,Romance,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyes Wide Shut ,1999,159,Color,280,0,10000,580,521,55637680,227071,11424,1,1500,English,UK,R,65000000,7.3,1.66,Drama,Mystery,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annie ,2014,118,Color,176,87,2000,1000,929,85911262,24735,4796,6,213,English,USA,PG,65000000,5.2,2.39,Comedy,Drama,Family,Musical,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Focus ,2015,105,Color,279,43,10000,806,523,53846915,149337,11943,0,221,English,USA,R,50100000,6.6,1.85,Comedy,Crime,Drama,Romance,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This Means War ,2012,103,Color,241,368,27000,1000,520,54758461,147641,29808,3,238,English,USA,PG-13,65000000,6.3,2.35,Action,Comedy,Romance,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blade: Trinity ,2004,122,Color,185,687,16000,1000,957,52397389,132954,19764,0,514,English,USA,R,65000000,5.9,2.35,Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Dawn ,1984,114,Color,97,468,1000,1000,919,,41776,3860,0,383,English,USA,PG-13,16900000,6.4,1.85,Action,Drama,War,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Colors ,1998,143,Color,117,0,509,317,210,38966057,23940,1409,0,157,English,France,R,65000000,6.7,2.35,Comedy,Drama,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident Evil: Retribution ,2012,96,Color,239,545,14000,1000,974,42345531,104831,17913,0,423,English,Germany,R,65000000,5.4,2.35,Action,Horror,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death Race ,2008,111,Color,230,545,26000,872,805,36064910,166610,28643,4,211,English,USA,R,45000000,6.4,2.35,Action,Sci-Fi,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Long Kiss Goodnight ,1996,121,Color,94,212,394,380,263,33328051,60508,1531,2,285,English,USA,R,65000000,6.7,2.35,Action,Crime,Drama,Mystery,Thriller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proof of Life ,2000,135,Color,134,138,324,192,184,32598931,49300,1013,1,265,English,USA,R,65000000,6.2,2.35,Action,Drama,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zathura: A Space Adventure ,2005,101,Color,136,4000,17000,14000,539,28045540,67707,32232,0,202,English,USA,PG,65000000,6.1,1.85,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fight Club ,1999,151,Color,315,21000,11000,783,637,37023395,1347461,13209,2,2968,English,USA,R,63000000,8.8,2.35,Drama,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We Are Marshall ,2006,131,Color,96,368,11000,529,383,43532294,46951,12088,0,175,English,USA,PG,65000000,7.1,2.35,Drama,Sport,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Missing             ,,60,Color,14,,1000,773,575,,8739,3537,0,28,English,UK,,,8.1,,Crime,Drama,Mystery,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Hawk ,1991,100,Color,60,36,13000,773,554,17218080,43376,15944,0,249,English,USA,R,70000000,5.7,1.85,Action,Adventure,Comedy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucky Numbers ,2000,105,Color,60,0,975,909,506,10014234,8560,3580,1,69,English,France,R,65000000,5,1.85,Comedy,Crime,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I, Frankenstein ",2014,92,Color,308,72,623,593,568,19059018,65709,3165,0,194,English,Australia,PG-13,65000000,5.1,2.35,Action,Fantasy,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Twist ,2005,130,Color,127,2000,268,85,25,1987287,25474,450,0,138,English,UK,PG-13,50000000,6.9,2.35,Crime,Drama,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elektra ,2005,100,Color,196,38,3000,1000,1000,24407944,71202,7048,0,380,English,Canada,PG-13,43000000,4.8,2.35,Action,Crime,Fantasy,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sin City: A Dame to Kill For ,2014,102, Black and White,339,436,23000,13000,6000,13750556,111102,49433,3,239,English,USA,R,65000000,6.5,1.85,Action,Crime,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Random Hearts ,1999,133,Color,96,521,11000,1000,970,31054924,17025,16710,1,290,English,USA,R,64000000,5.1,1.85,Drama,Mystery,Romance,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everest ,2015,121,Color,361,175,963,580,221,43247140,134625,2131,0,265,English,UK,PG-13,55000000,7.1,2.35,Adventure,Biography,Drama,History,Sport,Thriller,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perfume: The Story of a Murderer ,2006,147,Color,226,670,177,27,16,2208939,190490,253,0,482,English,Germany,R,50000000,7.5,2.35,Crime,Drama,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Powers in Goldmember ,2002,94,Color,194,116,645,522,481,213079163,162909,2725,2,795,English,USA,PG-13,63000000,6.2,2.35,Action,Comedy,Crime,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astro Boy ,2009,94,Color,138,42,12000,9000,668,19548064,25681,23365,1,77,English,Hong Kong,PG,65000000,6.3,2.35,Action,Animation,Comedy,Family,Sci-Fi,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
